start_time_lb_utc,stop_time_lb_utc,Total Fcst MW,spot_prices_eur,Spot trade (Planned production) MW,Total metered MW,Imbalance Sale MW,Imbalance Purchase MW
2025-03-05 00:00:00,2025-03-05 00:15:00,40.448,-1.04,0.0,4.16,4.16,0.0
2025-03-05 00:15:00,2025-03-05 00:30:00,40.448,-1.04,0.0,4.16,4.16,0.0
2025-03-05 00:30:00,2025-03-05 00:45:00,40.448,-1.04,0.0,4.16,4.16,0.0
2025-03-05 00:45:00,2025-03-05 01:00:00,40.448,-1.04,0.0,4.16,4.16,0.0
2025-03-05 01:00:00,2025-03-05 01:15:00,40.26,-1.21,0.0,4.28,4.28,0.0
2025-03-05 01:15:00,2025-03-05 01:30:00,40.26,-1.21,0.0,4.28,4.28,0.0
2025-03-05 01:30:00,2025-03-05 01:45:00,40.26,-1.21,0.0,4.28,4.28,0.0
2025-03-05 01:45:00,2025-03-05 02:00:00,40.26,-1.21,0.0,4.28,4.28,0.0
2025-03-05 02:00:00,2025-03-05 02:15:00,40.124,-1.3,0.0,4.24,4.24,0.0
2025-03-05 02:15:00,2025-03-05 02:30:00,40.124,-1.3,0.0,4.24,4.24,0.0
2025-03-05 02:30:00,2025-03-05 02:45:00,40.124,-1.3,0.0,4.24,4.24,0.0
2025-03-05 02:45:00,2025-03-05 03:00:00,40.124,-1.3,0.0,4.24,4.24,0.0
2025-03-05 03:00:00,2025-03-05 03:15:00,40.072,-1.18,0.0,4.2,4.2,0.0
2025-03-05 03:15:00,2025-03-05 03:30:00,40.072,-1.18,0.0,4.2,4.2,0.0
2025-03-05 03:30:00,2025-03-05 03:45:00,40.072,-1.18,0.0,4.2,4.2,0.0
2025-03-05 03:45:00,2025-03-05 04:00:00,40.072,-1.18,0.0,4.2,4.2,0.0
2025-03-05 04:00:00,2025-03-05 04:15:00,40.052,-0.91,0.0,4.24,4.24,0.0
2025-03-05 04:15:00,2025-03-05 04:30:00,40.052,-0.91,0.0,4.24,4.24,0.0
2025-03-05 04:30:00,2025-03-05 04:45:00,40.052,-0.91,0.0,4.24,4.24,0.0
2025-03-05 04:45:00,2025-03-05 05:00:00,40.052,-0.91,0.0,4.24,4.24,0.0
2025-03-05 05:00:00,2025-03-05 05:15:00,40.028,0.8,0.0,4.28,4.28,0.0
2025-03-05 05:15:00,2025-03-05 05:30:00,40.028,0.8,0.0,4.28,4.28,0.0
2025-03-05 05:30:00,2025-03-05 05:45:00,40.028,0.8,0.0,4.28,4.28,0.0
2025-03-05 05:45:00,2025-03-05 06:00:00,40.028,0.8,0.0,4.28,4.28,0.0
2025-03-05 06:00:00,2025-03-05 06:15:00,36.044,2.87,36.044,42.0,5.956000000000003,0.0
2025-03-05 06:15:00,2025-03-05 06:30:00,36.044,2.87,36.044,42.0,5.956000000000003,0.0
2025-03-05 06:30:00,2025-03-05 06:45:00,36.044,2.87,36.044,42.0,5.956000000000003,0.0
2025-03-05 06:45:00,2025-03-05 07:00:00,36.044,2.87,36.044,42.0,5.956000000000003,0.0
2025-03-05 07:00:00,2025-03-05 07:15:00,36.096,3.39,36.096,38.84,2.7439999999999998,0.0
2025-03-05 07:15:00,2025-03-05 07:30:00,36.096,3.39,36.096,38.84,2.7439999999999998,0.0
2025-03-05 07:30:00,2025-03-05 07:45:00,36.096,3.39,36.096,38.84,2.7439999999999998,0.0
2025-03-05 07:45:00,2025-03-05 08:00:00,36.096,3.39,36.096,38.84,2.7439999999999998,0.0
2025-03-05 08:00:00,2025-03-05 08:15:00,36.196,2.57,36.196,37.12,0.9240000000000064,0.0
2025-03-05 08:15:00,2025-03-05 08:30:00,36.196,2.57,36.196,37.12,0.9240000000000064,0.0
2025-03-05 08:30:00,2025-03-05 08:45:00,36.196,2.57,36.196,37.12,0.9240000000000064,0.0
2025-03-05 08:45:00,2025-03-05 09:00:00,36.196,2.57,36.196,37.12,0.9240000000000064,0.0
2025-03-05 09:00:00,2025-03-05 09:15:00,36.268,0.56,0.0,4.32,4.32,0.0
2025-03-05 09:15:00,2025-03-05 09:30:00,36.268,0.56,0.0,4.32,4.32,0.0
2025-03-05 09:30:00,2025-03-05 09:45:00,36.268,0.56,0.0,4.32,4.32,0.0
2025-03-05 09:45:00,2025-03-05 10:00:00,36.268,0.56,0.0,4.32,4.32,0.0
2025-03-05 10:00:00,2025-03-05 10:15:00,36.28,-0.48,0.0,1.28,1.28,0.0
2025-03-05 10:15:00,2025-03-05 10:30:00,36.28,-0.48,0.0,1.28,1.28,0.0
2025-03-05 10:30:00,2025-03-05 10:45:00,36.28,-0.48,0.0,1.28,1.28,0.0
2025-03-05 10:45:00,2025-03-05 11:00:00,36.28,-0.48,0.0,1.28,1.28,0.0
2025-03-05 11:00:00,2025-03-05 11:15:00,36.296,-0.56,0.0,0.8,0.8,0.0
2025-03-05 11:15:00,2025-03-05 11:30:00,36.296,-0.56,0.0,0.8,0.8,0.0
2025-03-05 11:30:00,2025-03-05 11:45:00,36.296,-0.56,0.0,0.8,0.8,0.0
2025-03-05 11:45:00,2025-03-05 12:00:00,36.296,-0.56,0.0,0.8,0.8,0.0
2025-03-05 12:00:00,2025-03-05 12:15:00,40.296,-0.57,0.0,0.8,0.8,0.0
2025-03-05 12:15:00,2025-03-05 12:30:00,40.296,-0.57,0.0,0.8,0.8,0.0
2025-03-05 12:30:00,2025-03-05 12:45:00,40.296,-0.57,0.0,0.8,0.8,0.0
2025-03-05 12:45:00,2025-03-05 13:00:00,40.296,-0.57,0.0,0.8,0.8,0.0
2025-03-05 13:00:00,2025-03-05 13:15:00,40.268,0.33,0.0,0.84,0.84,0.0
2025-03-05 13:15:00,2025-03-05 13:30:00,40.268,0.33,0.0,0.84,0.84,0.0
2025-03-05 13:30:00,2025-03-05 13:45:00,40.268,0.33,0.0,0.84,0.84,0.0
